team,name,original_filename,quiz_filename,position,birthDate,backNumber
HH,구대성,c0fd2bc6-f450-4fae-9374-442b5be3936f.mp4,25f03344-22c5-4c51-a327-039a3792ffea.mp4,RP,1969년 08월 02일,15
HH,김서현,e9685db1-03c8-4208-850b-7a8553cc0a2b.mp4,2386dfc4-b88f-4cb4-8e30-ffd35ca3b084.mp4,RP,2004년 05월 31일,54
HH,류현진,f5a31498-d822-40c4-80c7-eac568545380.mp4,fe8b6a6d-fb7e-443c-a3ae-efa9938e8d18.mp4,SP,1996년 01월 30일,99
HH,문동주,d519170a-b436-4cb6-a6d5-c93e991f4541.mp4,28d23eb3-2b76-4ff9-8a63-d2a121813d15.mp4,SP,2003년 12월 23일,1
HH,장민재,ebaded0e-8d6a-464e-864d-2ce0fad1908c.mp4,ada5b667-938e-4eab-9066-967a9ea291e6.mp4,RP,1990년 03월 19일,36
HH,정우람,3397f25a-9957-4d62-8236-4fc2ddd3d65a.mp4,cd68cc95-8bd3-4108-b645-fe4b8c03ad06.mp4,RP,1985년 06월 01일,57
HH,황준서,494dbb57-5311-4b83-be92-646856c1ab82.mp4,9e33761f-6f71-4fd7-b17d-decfc65596e1.mp4,RP,2005년 08월 22일,29
HT,네일,2c3d9fc6-d81b-4635-a0cf-80fd4c4d71b5.mp4,52603b12-d3d0-49d8-baf8-6b1bcd27921d.mp4,SP,1993년 02월 08일,40
HT,선동열,6571bdbe-10ff-4398-b3ed-7d362adbd699.mp4,7ff8e41b-1510-46e3-8862-b014a0e1fec3.mp4,SP,1963년 01월 10일,18
HT,양현종,07bd2777-e077-41fd-a2b5-59cf28480f8a.mp4,74ed6a3f-0795-4ff4-8c89-d213c51477e0.mp4,SP,1988년 03월 01일,54
HT,윤석민,7d279ac4-1d7f-4e05-81db-8b59a1aa10f9.mp4,de63dfa0-4c65-43f7-bd87-1ea7a7a2c9f9.mp4,SP,1986년 07월 24일,24
HT,이의리,f483c4ea-156b-412b-8e10-20d28cb7fc0a.mp4,505067b9-048b-4956-aa7c-5df3688ba975.mp4,SP,2002년 06월 16일,48
HT,임기영,93688652-876e-4b10-9238-cb49ac61500a.mp4,6563c714-befe-486e-ac15-b7e5f57df78b.mp4,RP,1993년 04월 16일,17
HT,정해영,de201ea4-560b-44c1-beac-e29750bbf49a.mp4,b410311c-f373-4f3f-9848-56aa12297eac.mp4,RP,2001년 08월 23일,62
KT,고영표,16282263-980b-4302-bcc1-3ee7973e9d24.mp4,5be72dec-9477-4ffd-8106-62462a6ddbfc.mp4,SP,1991년 09월 16일,1
KT,박영현,6177d898-0ece-4830-8cc7-ebe0034c13dc.mp4,900ea6ef-3101-4783-8235-add3cfda57fe.mp4,RP,2003년 10월 11일,60
KT,벤자민,69bf5925-7d2b-4686-bfa3-954cc3ac63ab.mp4,2058d3dc-1936-4072-8248-54b0b8e4c24c.mp4,SP,1993년 07월 26일,43
KT,소형준,2b037a8c-eddd-494d-8773-0c4ee7274488.mp4,c266b2f9-0219-4755-bb35-81084b109386.mp4,SP,2001년 09월 16일,30
KT,엄상백,a6c6f06f-51c5-4d78-8cde-fa619002db5d.mp4,ce0514b3-ae18-44c3-a168-d7d81d3ac6a6.mp4,SP,1996년 10월 04일,18
KT,주권,9956226f-4440-447a-962c-c859c4d67a65.mp4,a2f2744a-58ef-49cc-9d24-179c5fe728e6.mp4,RP,1995년 05월 31일,38
KT,쿠에바스,78cb0805-f165-4aae-b5fe-a59749a34661.mp4,4e59d102-8d5a-4bc4-8a68-f4389ee2b21b.mp4,SP,1990년 10월 14일,32
LG,고우석,a23f7713-00f5-4e6d-9d2d-45e7633ff63d.mp4,abdaad4a-d807-4e41-821b-c1eb3cc9e401.mp4,RP,1998년 08월 06일,19
LG,봉중근,37e5c18f-60a1-49ff-b7aa-c02f4531cc2a.mp4,5df56075-cfe9-40b1-a7ae-4563ee79df70.mp4,RP,1980년 07월 15일,51
LG,손주영,c7265b63-e77d-4a5b-ad13-0383694fc33b.mp4,43c5d1e9-f4a2-4868-ad55-c3eb9947153b.mp4,SP,1998년 12월 02일,29
LG,이상훈,a6971686-49d6-4d31-b573-df3045e6c712.mp4,2e99587a-57c3-4348-a466-52c5f55d5ef3.mp4,RP,1971년 03월 11일,47
LG,임찬규,a27ec48c-60c7-4f93-a75f-f912b89ba055.mp4,9d98d0c3-1425-4f50-bcda-e563af7b6f33.mp4,SP,1992년 11월 20일,1
LG,정우영,7fef7a9c-38c4-4d7b-87f7-023920b895b8.mp4,d0627de5-31e1-429e-b2ab-faf7df8c6bb4.mp4,RP,1999년 08월 19일,16
LG,켈리,7c2bc927-e8bb-4e1c-9187-174da157655b.mp4,564e4691-4cc2-444e-84e4-102dab9380b4.mp4,SP,1989년 10월 04일,3
LT,구승민,acb38372-be86-41c4-8099-02c99c33a0c5.mp4,f00349d2-8c0f-4006-a7d9-81d61d86751b.mp4,RP,1990년 06월 12일,22
LT,김원중,64841071-1181-4801-94ea-1e133fd747d0.mp4,8f72b424-0b9d-45e9-97b1-00f42b2f48ae.mp4,RP,1993년 06월 14일,34
LT,김진욱,8a86f92e-50b2-4797-adf2-3b39e3103e40.mp4,9708d76c-7fa8-4502-ba18-1ed4b34d4c80.mp4,SP,2002년 07월 05일,15
LT,박세웅,da112e2b-3ec4-4a9a-9980-e1fbdc203a09.mp4,b3593028-746f-4851-a916-4d19d397cebf.mp4,SP,1995년 11월 30일,21
LT,반즈,2034cfaf-fcf5-431f-801b-1172791e8b11.mp4,df773cd2-c937-41cc-b1d5-6cc9a036b469.mp4,SP,1995년 10월 01일,28
LT,윌커슨,5dd1adf3-3d35-4cf9-9879-6cd601e814c8.mp4,4683e3d5-3ecd-4ead-976e-b961091eafb1.mp4,SP,1989년 05월 24일,46
LT,최동원,9624b543-2704-4f01-8a38-a648f1ded6b8.mp4,428d6c43-5871-415a-88d1-1e2e99f0f698.mp4,SP,1958년 05월 24일,11
NC,구창모,d823f601-9f41-4772-8567-367b18c6fbd7.mp4,597e7068-898e-4577-b162-d90f1caa9e18.mp4,SP,1997년 02월 17일,59
NC,김영규,5873110c-ea91-4fc0-8c69-4160b4519c94.mp4,e7f26319-d804-412c-a029-07d05ccc8e7e.mp4,RP,2000년 02월 10일,17
NC,송명기,45cc3916-d3fa-471e-9293-d58412bf44bc.mp4,713950ac-a424-47c6-a7d4-7466de1282c1.mp4,RP,2000년 08월 09일,11
NC,이용찬,9dc61ee5-f09d-416f-890b-0d9581561982.mp4,2be382ee-a431-49c5-9b3a-ddb8fe88a681.mp4,RP,1989년 01월 02일,22
NC,이재학,d90e3fe5-0b84-49cc-b6a5-fd003e211d49.mp4,36179625-7c31-41dc-bd97-9da99972bdd7.mp4,SP,1990년 10월 04일,51
NC,페디,76703557-2d86-433e-ba90-8b9b877a9e0c.mp4,a7df5e84-de95-4f23-9108-ab0f7c68842b.mp4,SP,1993년 02월 25일,13
NC,하트,5ea9905c-8899-4b08-b8e6-c1834c8697aa.mp4,484a1d57-d8cd-4e4f-af19-345f5ea7dd03.mp4,SP,1992년 11월 23일,30
OB,곽빈,94f64517-cf07-4afd-872a-55fa5a248cce.mp4,2a019856-a00c-47a0-a53e-23682506c86e.mp4,SP,1999년 05월 28일,47
OB,김택연,2c4e2501-192c-45ca-a547-61dd1152984c.mp4,349b06c6-654c-49a3-a8be-f98cc184f54c.mp4,RP,2005년 06월 03일,63
OB,니퍼트,f244568a-61e7-4e43-86be-fd38767cfbb4.mp4,3aebe9d7-dd69-4cb4-baf6-343ffd213431.mp4,SP,1981년 05월 06일,40
OB,유희관,4f179c04-642f-418f-9597-b78984a9ecbe.mp4,e7e7574f-193d-45d6-bdae-881b39a00195.mp4,SP,1986년 06월 01일,29
OB,이병헌,f3ed1c2b-dbc9-446f-bf67-827a0257aeac.mp4,74a5d68a-6326-45d5-bce5-9a0c6f6237f1.mp4,RP,2003년 06월 04일,29
OB,이영하,c01d4e89-c9f6-40be-9368-ee8e69fe4369.mp4,15b9c5db-57b5-4319-b43f-fb046e4c2f53.mp4,RP,1997년 11월 01일,50
OB,최원준,825b6901-1eb3-4f3d-be59-7afd143c0f1a.mp4,00c85bf5-0688-4bfe-9335-d8d9b20c7adb.mp4,SP,1994년 12월 21일,61
SK,김광현,4f23f1b7-c755-4455-9298-a4592b879596.mp4,6f981a99-e59b-45e8-8c67-84e4f54c105e.mp4,SP,1988년 07월 22일,29
SK,노경은,9cedbb8a-ff7e-4128-b23b-c936986874db.mp4,72482ebe-47fa-4055-80a9-0039daaf5c39.mp4,RP,1984년 03월 11일,38
SK,박종훈,3fd27e67-4ea8-4acd-a08a-52b26b849065.mp4,f7feac02-174b-46b8-8f5b-15a972155b41.mp4,SP,1991년 08월 13일,50
SK,오원석,279fdd60-08e8-4d90-b9f5-00f5f837507d.mp4,ac1df361-cfdf-49c0-998f-555e583e1327.mp4,SP,2001년 04월 23일,47
SK,조병현,a1f5cfa5-dd0e-4a04-b0fb-f9aaf61399a7.mp4,ede054fb-6101-4359-a9f8-ca0994bfa193.mp4,RP,2002년 05월 08일,19
SK,채병용,cdfc034e-691c-46d9-a387-cf36d24ff8c0.mp4,5e03527d-fd72-4b0f-b5a5-d28c54de4491.mp4,RP,1982년 04월 25일,79
SK,폰트,dfa6726b-a554-4d3e-bef7-f124688fde90.mp4,9d57193c-c27a-4c51-92e2-c88e377ca7c1.mp4,SP,1990년 05월 24일,63
SS,김시진,6239a537-d0e6-4350-a94e-f94898931d48.mp4,ec25db27-fe58-48d8-80d4-4e510cf77c0a.mp4,SP,1958년 03월 20일,29
SS,백정현,7fe6a518-5ed2-4772-8e72-9a1a14c1a7be.mp4,e393a49e-f9d2-40a5-a8fd-814ce0fc178f.mp4,SP,1987년 07월 13일,29
SS,뷰캐넌,5d9d0d3e-e78f-4384-99fd-45fa465ebb4b.mp4,600a603e-58cb-47f2-be84-fc86dba38b60.mp4,SP,1989년 05월 11일,4
SS,오승환,186e9e7f-3ff6-485b-8be1-88dd8edf324b.mp4,693ec7e8-be97-44ba-bad4-a63774e006ad.mp4,RP,1982년 07월 15일,21
SS,원태인,8b84aab1-a0d7-4c2c-96e6-37cd9f920515.mp4,12ec1517-e576-4134-9c6e-02040a32d51e.mp4,SP,2000년 04월 06일,18
SS,이승현,b283b0d7-9404-4c5a-8cf2-f7186848c4e7.mp4,cd9c276c-b9ef-4901-800d-86e57144fd3e.mp4,RP,2002년 05월 19일,57
SS,임창민,e9c88391-bb5b-46e4-aed4-5a77879bbf24.mp4,28167668-f388-4d7e-8b08-55b035f50040.mp4,RP,1985년 08월 25일,45
WO,김윤하,ddbc2b94-997d-4784-856c-ce7fc89525b4.mp4,3e5e0a3f-5540-4fec-8184-ef637a03aefd.mp4,SP,2005년 03월 07일,19
WO,안우진,368dc100-b0fe-4901-a5f5-4734f5f159e6.mp4,544eba0e-d9fd-4119-b4ee-db58c8fc1ec9.mp4,SP,1999년 08월 30일,41
WO,오주원,cf5e2a4e-b01a-4c97-9fa6-41eedde029a2.mp4,684c091b-7d70-4bc0-89de-cd7f25aa96f5.mp4,RP,1985년 03월 31일,86
WO,조상우,9e3a050b-f3b5-4d6d-8017-7825b5cef4b8.mp4,867cf40f-5d2c-489c-8596-4ccd4e41c56e.mp4,RP,1994년 09월 04일,11
WO,하영민,9f6190d6-f7da-4ce8-a48d-fcd30d634aad.mp4,f09c05b3-9450-4333-92f5-840e67e5be23.mp4,SP,1995년 05월 07일,50
WO,헤이수스,c952f409-b717-40b1-8f8d-a99e04553835.mp4,3cc206b2-cfd5-4cc9-9258-b95b8c2a1300.mp4,SP,1996년 12월 10일,54
WO,후라도,d5c42f45-e7eb-4535-8121-ef8a202f323f.mp4,0a7f2ac9-8563-4bba-87f1-83a5a5d88478.mp4,SP,1996년 01월 30일,75
